,Descriptor,Resolved Type,Cluster Labels,Segment
8289,Noise,no_violation,6,7
8290,Noise,fixed,4,5
8291,Noise,no_violation,6,7
8292,Noise,no_violation,6,7
8293,Noise,fixed,4,5
8294,Noise,no_violation,6,7
8295,Noise,no_violation,6,7
8296,Noise,fixed,4,5
8297,Traffic,fixed,0,1
8298,Traffic,fixed,0,1
8299,Noise,no_violation,6,7
8300,Noise,fixed,4,5
8301,Noise,fixed,4,5
8302,Noise,fixed,4,5
8303,Noise,fixed,4,5
8304,Noise,no_violation,6,7
8305,Noise,info_needed,4,5
8306,Safety,fixed,0,1
8307,Noise,fixed,4,5
8308,Personal Issue,fixed,0,1
8309,Noise,no_violation,6,7
8310,Noise,fixed,4,5
8311,Noise,no_violation,6,7
8312,Noise,fixed,4,5
8313,Traffic,info_needed,0,1
8314,Noise,fixed,4,5
8315,Noise,no_violation,6,7
8316,Noise,no_violation,6,7
8317,Noise,no_violation,6,7
8318,Noise,no_violation,6,7
8319,Traffic,fixed,0,1
8320,Noise,no_violation,6,7
8321,Noise,fixed,4,5
8322,Noise,fixed,4,5
8323,Noise,fixed,4,5
8324,Noise,no_violation,6,7
8325,Noise,no_violation,6,7
8326,Noise,no_violation,6,7
8327,Other,no_violation,1,2
8328,Noise,info_needed,4,5
8329,Noise,no_violation,6,7
8330,Noise,no_violation,6,7
8331,Noise,no_violation,6,7
8333,Noise,fixed,4,5
8334,Noise,no_violation,6,7
8335,Noise,no_violation,6,7
8336,Traffic,fixed,0,1
8337,Other,fixed,0,1
8338,Noise,no_violation,6,7
8339,Commercial,fixed,0,1
8340,Noise,no_violation,6,7
8341,Noise,no_violation,6,7
8342,Noise,fixed,4,5
8343,Noise,fixed,4,5
8344,Commercial,fixed,0,1
8345,Commercial,fixed,0,1
8346,Traffic,info_needed,0,1
8347,Noise,no_violation,6,7
8348,Personal Issue,fixed,0,1
8349,Traffic,fixed,0,1
8350,Commercial,fixed,0,1
8351,Commercial,fixed,0,1
8352,Commercial,fixed,0,1
8353,Commercial,fixed,0,1
8354,Traffic,info_needed,0,1
8355,Personal Issue,fixed,0,1
8356,Traffic,fixed,0,1
8357,Commercial,fixed,0,1
8358,Noise,fixed,4,5
8359,Commercial,fixed,0,1
8360,Traffic,fixed,0,1
8361,Noise,no_violation,6,7
8362,Noise,fixed,4,5
8363,Noise,no_violation,6,7
8364,Personal Issue,no_violation,1,2
8365,Traffic,no_violation,5,6
8366,Personal Issue,no_violation,1,2
8367,Noise,no_violation,6,7
8368,Noise,no_violation,6,7
8369,Noise,no_violation,6,7
8371,Safety,fixed,0,1
8372,Traffic,no_violation,5,6
8373,Personal Issue,fixed,0,1
8375,Noise,no_violation,6,7
8376,Noise,no_violation,6,7
8377,House,info_needed,1,2
8378,Animals,referred,0,1
8379,Traffic,no_violation,5,6
8380,Traffic,fixed,0,1
8381,Noise,fixed,4,5
8382,Traffic,fixed,0,1
8385,Traffic,no_violation,5,6
8386,Traffic,no_violation,5,6
8387,Traffic,no_violation,5,6
8388,Traffic,no_violation,5,6
8390,Safety,no_violation,7,8
8392,Traffic,no_violation,5,6
8395,Safety,fixed,0,1
8396,Safety,fixed,0,1
8397,Noise,no_violation,6,7
8400,Traffic,fixed,0,1
8401,Traffic,no_violation,5,6
8402,Traffic,fixed,0,1
8403,Traffic,no_violation,5,6
8408,Traffic,no_violation,5,6
8410,Safety,fixed,0,1
8411,Trash/Pollution,no_violation,3,4
8412,House,no_violation,1,2
8413,Energy,fixed,0,1
8414,House,duplicated_report,1,2
8415,House,no_violation,1,2
8417,Noise,no_violation,6,7
8418,Noise,fixed,4,5
8419,Traffic,no_violation,5,6
8420,House,fixed,2,3
8421,Traffic,no_violation,5,6
8422,Personal Issue,no_violation,1,2
8423,Noise,no_violation,6,7
8424,Traffic,no_violation,5,6
8425,Traffic,no_violation,5,6
8426,House,fixed,2,3
8427,Traffic,no_violation,5,6
8428,Traffic,no_violation,5,6
8432,Personal Issue,fixed,0,1
8433,Safety,no_violation,7,8
8434,Noise,no_violation,6,7
8435,Traffic,referred,0,1
8436,Traffic,no_violation,5,6
8437,Commercial,fixed,0,1
8438,Other,fixed,0,1
8441,Commercial,fixed,0,1
8442,Commercial,fixed,0,1
8443,Safety,no_violation,7,8
8444,Commercial,info_needed,0,1
8445,Personal Issue,fixed,0,1
8446,Traffic,no_violation,5,6
8447,Traffic,no_violation,5,6
8448,Traffic,no_violation,5,6
8449,Trash/Pollution,fixed,0,1
8452,House,fixed,2,3
8453,Traffic,fixed,0,1
8454,Traffic,fixed,0,1
8455,Noise,no_violation,6,7
8459,Traffic,no_violation,5,6
8460,Traffic,no_violation,5,6
8461,Traffic,no_violation,5,6
8462,Traffic,no_violation,5,6
8463,Traffic,no_violation,5,6
8464,Traffic,no_violation,5,6
8465,Traffic,no_violation,5,6
8466,Traffic,no_violation,5,6
8467,Traffic,no_violation,5,6
8468,Traffic,no_violation,5,6
8469,Traffic,no_violation,5,6
8470,Noise,no_violation,6,7
8471,Traffic,no_violation,5,6
8474,Traffic,no_violation,5,6
8475,Traffic,no_violation,5,6
8476,Traffic,no_violation,5,6
8477,Noise,no_violation,6,7
8478,Traffic,no_violation,5,6
8479,Traffic,no_violation,5,6
8480,Traffic,no_violation,5,6
8481,Traffic,fixed,0,1
8483,Noise,no_violation,6,7
8484,Traffic,no_violation,5,6
8485,Commercial,no_violation,1,2
8486,Safety,no_violation,7,8
8487,Noise,no_violation,6,7
8490,Noise,no_violation,6,7
8491,Safety,fixed,0,1
8492,Noise,no_violation,6,7
8493,House,fixed,2,3
8494,House,fixed,2,3
8495,House,fixed,2,3
8496,Traffic,no_violation,5,6
8497,Safety,fixed,0,1
8498,Safety,fixed,0,1
8499,Safety,fixed,0,1
8500,Safety,fixed,0,1
8501,House,fixed,2,3
8502,House,fixed,2,3
8503,Animals,fixed,0,1
8504,House,fixed,2,3
8505,House,fixed,2,3
8507,Noise,no_violation,6,7
8508,Other,fixed,0,1
8509,Traffic,no_violation,5,6
8510,Personal Issue,fixed,0,1
8511,Safety,fixed,0,1
8512,Traffic,fixed,0,1
8513,Noise,no_violation,6,7
8514,Noise,fixed,4,5
8515,Trash/Pollution,referred,3,4
8516,Trash/Pollution,no_violation,3,4
8517,Trash/Pollution,referred,3,4
8518,Trash/Pollution,no_violation,3,4
8519,Trash/Pollution,no_violation,3,4
8521,Noise,fixed,4,5
8522,Noise,fixed,4,5
8523,Safety,no_violation,7,8
8524,Traffic,no_violation,5,6
8525,Traffic,fixed,0,1
8527,Traffic,fixed,0,1
8528,Personal Issue,fixed,0,1
8530,Traffic,info_needed,0,1
8531,Traffic,no_violation,5,6
8532,Noise,no_violation,6,7
8533,Traffic,fixed,0,1
8536,Traffic,no_violation,5,6
8537,Traffic,fixed,0,1
8539,Traffic,fixed,0,1
8542,Noise,fixed,4,5
8543,Traffic,fixed,0,1
8544,Noise,no_violation,6,7
8545,Safety,fixed,0,1
8546,Noise,info_needed,4,5
8547,Noise,no_violation,6,7
8550,Traffic,no_violation,5,6
8551,Noise,no_violation,6,7
8553,Noise,fixed,4,5
8554,Noise,fixed,4,5
8555,Noise,fixed,4,5
8556,Traffic,fixed,0,1
8558,Safety,no_violation,7,8
8559,Animals,fixed,0,1
8560,Traffic,fixed,0,1
8562,House,fixed,2,3
8563,Noise,fixed,4,5
8564,House,fixed,2,3
8565,Traffic,fixed,0,1
8566,Traffic,fixed,0,1
8567,Traffic,fixed,0,1
8568,Noise,fixed,4,5
8569,Traffic,fixed,0,1
8570,Traffic,no_violation,5,6
8571,Noise,fixed,4,5
8572,Noise,fixed,4,5
8573,Traffic,fixed,0,1
8574,Traffic,fixed,0,1
8575,Traffic,referred,0,1
8576,Noise,fixed,4,5
8577,Traffic,fixed,0,1
8578,Noise,fixed,4,5
8581,House,no_violation,1,2
8582,House,info_needed,1,2
8583,House,fixed,2,3
8584,House,fixed,2,3
8585,House,fixed,2,3
8586,Noise,no_violation,6,7
8587,Noise,fixed,4,5
8588,Traffic,fixed,0,1
8589,Traffic,no_violation,5,6
8590,Noise,fixed,4,5
8591,Personal Issue,fixed,0,1
8592,Noise,fixed,4,5
8593,Noise,no_violation,6,7
8594,Noise,fixed,4,5
8595,Traffic,no_violation,5,6
8596,Noise,info_needed,4,5
8597,Traffic,no_violation,5,6
8598,Noise,no_violation,6,7
8599,Noise,fixed,4,5
8600,Safety,referred,7,8
8601,Traffic,fixed,0,1
8602,Trash/Pollution,fixed,0,1
8603,Traffic,fixed,0,1
8604,Noise,fixed,4,5
8605,Traffic,no_violation,5,6
8606,Traffic,no_violation,5,6
8607,Traffic,no_violation,5,6
8608,Traffic,no_violation,5,6
8609,Safety,no_violation,7,8
8610,Traffic,no_violation,5,6
8611,Traffic,no_violation,5,6
8612,Traffic,no_violation,5,6
8613,Traffic,no_violation,5,6
8614,Traffic,no_violation,5,6
8615,Traffic,no_violation,5,6
8616,Noise,fixed,4,5
8617,Traffic,no_violation,5,6
8618,Traffic,no_violation,5,6
8619,Traffic,no_violation,5,6
8620,Noise,no_violation,6,7
8621,Personal Issue,fixed,0,1
8622,Traffic,no_violation,5,6
8623,Traffic,no_violation,5,6
8624,Noise,no_violation,6,7
8625,Noise,no_violation,6,7
8626,Noise,no_violation,6,7
8627,Traffic,fixed,0,1
8629,Noise,no_violation,6,7
8632,Noise,no_violation,6,7
8633,Safety,no_violation,7,8
8634,Safety,fixed,0,1
8635,Noise,fixed,4,5
8636,Traffic,fixed,0,1
8637,Traffic,fixed,0,1
8638,Other,no_violation,1,2
8639,Personal Issue,no_violation,1,2
8640,Safety,no_violation,7,8
8641,Noise,no_violation,6,7
8642,Noise,no_violation,6,7
8643,House,fixed,2,3
8644,Noise,fixed,4,5
8645,Traffic,no_violation,5,6
8646,Traffic,no_violation,5,6
8647,Noise,fixed,4,5
8648,Traffic,fixed,0,1
8649,Traffic,no_violation,5,6
8651,Traffic,fixed,0,1
8652,Traffic,no_violation,5,6
8653,House,fixed,2,3
8654,Noise,no_violation,6,7
8655,House,fixed,2,3
8656,Noise,no_violation,6,7
8657,Safety,fixed,0,1
8658,Noise,fixed,4,5
8659,Noise,no_violation,6,7
8660,Noise,fixed,4,5
8661,Noise,fixed,4,5
8662,Traffic,no_violation,5,6
8663,Noise,fixed,4,5
8664,Noise,no_violation,6,7
8665,Safety,fixed,0,1
8666,Traffic,fixed,0,1
8667,Noise,no_violation,6,7
8668,Commercial,fixed,0,1
8669,Traffic,no_violation,5,6
8670,Noise,no_violation,6,7
8671,Traffic,no_violation,5,6
8672,Traffic,no_violation,5,6
8673,Noise,no_violation,6,7
8674,Noise,fixed,4,5
8675,Noise,info_needed,4,5
8676,Safety,no_violation,7,8
8677,Noise,no_violation,6,7
8678,Noise,fixed,4,5
8679,Noise,fixed,4,5
8680,Noise,fixed,4,5
8681,Noise,fixed,4,5
8682,Traffic,fixed,0,1
8683,Traffic,no_violation,5,6
8684,Noise,no_violation,6,7
8685,Traffic,no_violation,5,6
8686,Traffic,no_violation,5,6
8687,Noise,no_violation,6,7
8688,Traffic,fixed,0,1
8689,Traffic,fixed,0,1
8690,Noise,fixed,4,5
8691,Noise,no_violation,6,7
8692,Traffic,no_violation,5,6
8693,Noise,fixed,4,5
8694,Noise,info_needed,4,5
8695,Personal Issue,fixed,0,1
8696,Traffic,fixed,0,1
8698,Traffic,no_violation,5,6
8699,Traffic,fixed,0,1
8700,Traffic,fixed,0,1
8701,Safety,no_violation,7,8
8702,Traffic,no_violation,5,6
8703,Traffic,no_violation,5,6
8704,Traffic,fixed,0,1
8705,Noise,fixed,4,5
8706,Noise,fixed,4,5
8707,Noise,fixed,4,5
8708,Noise,fixed,4,5
8709,Noise,no_violation,6,7
8710,Noise,no_violation,6,7
8711,Noise,fixed,4,5
8712,Traffic,fixed,0,1
8713,Noise,fixed,4,5
8714,Noise,fixed,4,5
8715,Noise,fixed,4,5
8716,Noise,no_violation,6,7
8717,Traffic,no_violation,5,6
8718,Noise,no_violation,6,7
8719,Safety,no_violation,7,8
8720,Personal Issue,fixed,0,1
8721,Noise,fixed,4,5
8722,Noise,no_violation,6,7
8723,Noise,referred,4,5
8724,Noise,fixed,4,5
8725,Traffic,fixed,0,1
8726,Traffic,fixed,0,1
8727,Traffic,no_violation,5,6
8728,Noise,no_violation,6,7
8729,Noise,fixed,4,5
8730,Safety,fixed,0,1
8731,Noise,fixed,4,5
8732,Noise,no_violation,6,7
8733,Noise,fixed,4,5
8734,Traffic,fixed,0,1
8735,Noise,fixed,4,5
8736,Noise,no_violation,6,7
8738,Noise,fixed,4,5
8739,Noise,fixed,4,5
8740,Noise,fixed,4,5
8741,Noise,fixed,4,5
8742,House,fixed,2,3
8743,Noise,fixed,4,5
8744,Noise,fixed,4,5
8745,Traffic,fixed,0,1
8746,Safety,no_violation,7,8
8747,Traffic,fixed,0,1
8748,Traffic,fixed,0,1
8749,Noise,no_violation,6,7
8750,Personal Issue,no_violation,1,2
8751,Noise,no_violation,6,7
8752,Noise,fixed,4,5
8753,Traffic,fixed,0,1
8754,Noise,no_violation,6,7
8756,Noise,no_violation,6,7
8757,Traffic,no_violation,5,6
8758,Noise,fixed,4,5
8759,Noise,fixed,4,5
8760,Noise,no_violation,6,7
8761,Noise,fixed,4,5
8762,Noise,fixed,4,5
8763,Noise,no_violation,6,7
8764,Noise,fixed,4,5
8765,Noise,info_needed,4,5
8766,Noise,no_violation,6,7
8767,Energy,no_violation,1,2
8768,Noise,no_violation,6,7
8769,Safety,no_violation,7,8
8771,Noise,referred,4,5
8772,Noise,fixed,4,5
8773,Noise,fixed,4,5
8774,Noise,fixed,4,5
8775,Noise,referred,4,5
8776,Noise,no_violation,6,7
8778,Traffic,fixed,0,1
8779,Noise,no_violation,6,7
8782,Noise,fixed,4,5
8783,Safety,no_violation,7,8
8784,Noise,fixed,4,5
8785,Personal Issue,no_violation,1,2
8787,Noise,no_violation,6,7
8788,Noise,fixed,4,5
8789,Noise,fixed,4,5
8790,Noise,fixed,4,5
8791,Noise,fixed,4,5
8792,Noise,fixed,4,5
8793,Noise,fixed,4,5
8794,Safety,no_violation,7,8
8795,Traffic,no_violation,5,6
8796,Noise,no_violation,6,7
8797,Noise,no_violation,6,7
8798,Noise,no_violation,6,7
8799,Noise,no_violation,6,7
8800,Noise,fixed,4,5
8801,Noise,no_violation,6,7
8802,Traffic,fixed,0,1
8803,Noise,fixed,4,5
8804,Noise,no_violation,6,7
8805,Noise,no_violation,6,7
8806,Noise,no_violation,6,7
8807,Traffic,no_violation,5,6
8808,Noise,fixed,4,5
8809,Noise,fixed,4,5
8810,Noise,no_violation,6,7
8811,Safety,fixed,0,1
8812,Traffic,no_violation,5,6
8813,Noise,no_violation,6,7
8814,Traffic,no_violation,5,6
8815,Animals,fixed,0,1
8818,Safety,fixed,0,1
8819,Noise,fixed,4,5
8820,Noise,no_violation,6,7
8821,Noise,fixed,4,5
8822,Noise,no_violation,6,7
8823,Safety,no_violation,7,8
8824,Noise,fixed,4,5
8825,Safety,fixed,0,1
8826,Noise,fixed,4,5
8827,Noise,no_violation,6,7
8830,Safety,no_violation,7,8
8831,Noise,fixed,4,5
8832,Noise,fixed,4,5
8833,Noise,fixed,4,5
8834,Safety,fixed,0,1
8835,Noise,fixed,4,5
8836,Noise,no_violation,6,7
8837,Noise,no_violation,6,7
8838,Noise,fixed,4,5
8839,Other,no_violation,1,2
8840,Noise,fixed,4,5
8841,Noise,fixed,4,5
8842,Noise,fixed,4,5
8843,Traffic,fixed,0,1
8844,Traffic,fixed,0,1
8845,Noise,fixed,4,5
8846,Noise,fixed,4,5
8847,Traffic,fixed,0,1
8848,Other,fixed,0,1
8849,Noise,fixed,4,5
8850,Noise,fixed,4,5
8851,Noise,no_violation,6,7
8852,Noise,fixed,4,5
8853,Noise,no_violation,6,7
8854,Noise,no_violation,6,7
8855,Noise,no_violation,6,7
8856,Noise,fixed,4,5
8857,Noise,fixed,4,5
8858,Safety,no_violation,7,8
8859,Noise,fixed,4,5
8860,Traffic,fixed,0,1
8861,Noise,no_violation,6,7
8863,Traffic,no_violation,5,6
8864,Noise,no_violation,6,7
8865,Noise,no_violation,6,7
8866,Noise,no_violation,6,7
8867,Noise,fixed,4,5
8868,Noise,no_violation,6,7
8869,Noise,fixed,4,5
8870,Traffic,no_violation,5,6
8871,Traffic,no_violation,5,6
8872,Safety,no_violation,7,8
8873,Noise,no_violation,6,7
8874,Noise,fixed,4,5
8875,Noise,no_violation,6,7
8876,Noise,fixed,4,5
8877,Noise,no_violation,6,7
8879,Noise,no_violation,6,7
8880,Noise,no_violation,6,7
8881,Noise,no_violation,6,7
8882,Traffic,fixed,0,1
8883,Traffic,fixed,0,1
8884,Noise,fixed,4,5
8885,Noise,fixed,4,5
8886,Noise,fixed,4,5
8887,Noise,fixed,4,5
8888,Noise,no_violation,6,7
8889,Noise,no_violation,6,7
8890,Noise,no_violation,6,7
8891,Noise,no_violation,6,7
8892,Noise,fixed,4,5
8893,Traffic,fixed,0,1
8894,Noise,fixed,4,5
8895,Noise,fixed,4,5
8896,Noise,fixed,4,5
8897,Noise,no_violation,6,7
8898,Noise,fixed,4,5
8899,Noise,no_violation,6,7
8900,Safety,no_violation,7,8
8901,Noise,fixed,4,5
8902,Noise,no_violation,6,7
8903,Noise,no_violation,6,7
8904,Noise,fixed,4,5
8906,Traffic,no_violation,5,6
8907,Noise,no_violation,6,7
8908,Noise,fixed,4,5
8909,Noise,fixed,4,5
8910,Noise,fixed,4,5
8911,Noise,fixed,4,5
8912,Noise,fixed,4,5
8913,Noise,no_violation,6,7
8914,Noise,fixed,4,5
8915,Noise,fixed,4,5
8916,House,no_violation,1,2
8917,Noise,fixed,4,5
8918,Noise,no_violation,6,7
8919,Traffic,no_violation,5,6
8920,Noise,no_violation,6,7
8921,Noise,fixed,4,5
8922,Safety,no_violation,7,8
8923,Noise,fixed,4,5
8924,Noise,no_violation,6,7
8925,Noise,no_violation,6,7
8926,Noise,fixed,4,5
8927,Noise,no_violation,6,7
8928,Noise,fixed,4,5
8929,Noise,no_violation,6,7
8930,Noise,no_violation,6,7
8931,Noise,fixed,4,5
8932,Noise,fixed,4,5
8933,Noise,no_violation,6,7
8934,Noise,fixed,4,5
8935,Noise,no_violation,6,7
8936,Noise,no_violation,6,7
8937,Noise,no_violation,6,7
8938,Noise,no_violation,6,7
8939,Noise,fixed,4,5
8940,Traffic,no_violation,5,6
8941,Noise,no_violation,6,7
8942,Traffic,no_violation,5,6
8943,Noise,no_violation,6,7
8944,Noise,fixed,4,5
8945,Traffic,no_violation,5,6
8946,Traffic,no_violation,5,6
8947,Traffic,no_violation,5,6
8948,Traffic,no_violation,5,6
8949,Traffic,no_violation,5,6
8950,Traffic,no_violation,5,6
8951,Traffic,no_violation,5,6
8952,Traffic,no_violation,5,6
8953,Traffic,no_violation,5,6
8954,Traffic,no_violation,5,6
8955,Traffic,no_violation,5,6
8956,Traffic,no_violation,5,6
8957,Traffic,no_violation,5,6
8958,Traffic,no_violation,5,6
8959,Traffic,no_violation,5,6
8960,Traffic,no_violation,5,6
8961,Traffic,no_violation,5,6
8962,Traffic,no_violation,5,6
8963,Noise,no_violation,6,7
8964,Noise,fixed,4,5
8965,Traffic,no_violation,5,6
8966,Noise,fixed,4,5
8967,Noise,fixed,4,5
8968,Noise,no_violation,6,7
8969,Noise,no_violation,6,7
8970,Noise,no_violation,6,7
8971,Other,no_violation,1,2
8972,Traffic,fixed,0,1
8973,Noise,fixed,4,5
8974,Traffic,no_violation,5,6
8975,Noise,fixed,4,5
8976,Noise,fixed,4,5
8978,Noise,no_violation,6,7
8979,Noise,no_violation,6,7
8980,Noise,no_violation,6,7
8981,Noise,fixed,4,5
8982,Noise,fixed,4,5
8983,Noise,no_violation,6,7
8984,Noise,fixed,4,5
8985,Noise,no_violation,6,7
8986,Noise,no_violation,6,7
8987,Traffic,no_violation,5,6
8988,Energy,no_violation,1,2
8989,Noise,no_violation,6,7
8990,Noise,no_violation,6,7
8991,Noise,no_violation,6,7
8992,Noise,fixed,4,5
8993,Noise,no_violation,6,7
8994,Noise,fixed,4,5
8995,Traffic,no_violation,5,6
8996,Noise,fixed,4,5
8997,Noise,no_violation,6,7
8998,Safety,fixed,0,1
8999,Safety,fixed,0,1
9000,Noise,no_violation,6,7
9001,Noise,fixed,4,5
9002,Noise,fixed,4,5
9003,Safety,fixed,0,1
9004,Noise,fixed,4,5
9005,Noise,fixed,4,5
9006,Noise,no_violation,6,7
9007,Noise,fixed,4,5
9008,Noise,fixed,4,5
9009,Noise,no_violation,6,7
9010,Noise,fixed,4,5
9011,Noise,fixed,4,5
9012,Energy,no_violation,1,2
9013,Noise,no_violation,6,7
9014,Noise,no_violation,6,7
9015,Noise,no_violation,6,7
9016,Noise,no_violation,6,7
9017,Noise,no_violation,6,7
9018,Noise,fixed,4,5
9019,Noise,referred,4,5
9020,Noise,fixed,4,5
9021,Safety,fixed,0,1
9022,Traffic,fixed,0,1
9023,Traffic,fixed,0,1
9024,Noise,fixed,4,5
9025,Noise,no_violation,6,7
9026,Noise,no_violation,6,7
9027,Noise,fixed,4,5
9028,Noise,referred,4,5
9029,Noise,no_violation,6,7
9030,Noise,no_violation,6,7
9031,Safety,fixed,0,1
9032,Commercial,no_violation,1,2
9033,Noise,fixed,4,5
9034,Noise,no_violation,6,7
9035,Noise,no_violation,6,7
9036,Noise,no_violation,6,7
9037,Noise,no_violation,6,7
9038,Noise,no_violation,6,7
9039,Noise,no_violation,6,7
9040,Noise,no_violation,6,7
9041,Noise,fixed,4,5
9042,Noise,no_violation,6,7
9043,Noise,no_violation,6,7
9044,Personal Issue,no_violation,1,2
9045,Safety,no_violation,7,8
9046,Noise,no_violation,6,7
9047,Noise,no_violation,6,7
9048,Energy,no_violation,1,2
9049,Noise,no_violation,6,7
9050,Noise,no_violation,6,7
9051,Noise,fixed,4,5
9052,Noise,no_violation,6,7
9053,Noise,no_violation,6,7
9054,Noise,no_violation,6,7
9055,Noise,no_violation,6,7
9056,Noise,no_violation,6,7
9057,Noise,fixed,4,5
9058,Noise,no_violation,6,7
9059,Noise,fixed,4,5
9060,Noise,fixed,4,5
9061,Noise,fixed,4,5
9062,Noise,no_violation,6,7
9063,Noise,no_violation,6,7
9064,Noise,fixed,4,5
9065,Traffic,fixed,0,1
9066,Noise,no_violation,6,7
9067,Noise,fixed,4,5
9068,Noise,fixed,4,5
9069,Noise,fixed,4,5
9070,Traffic,fixed,0,1
9071,Traffic,fixed,0,1
9072,Noise,fixed,4,5
9073,Noise,fixed,4,5
9074,Noise,fixed,4,5
9075,Noise,fixed,4,5
9076,Noise,fixed,4,5
9077,Noise,fixed,4,5
9078,Noise,fixed,4,5
9079,Noise,fixed,4,5
9080,Noise,fixed,4,5
9081,Noise,fixed,4,5
9082,Noise,fixed,4,5
9083,Noise,no_violation,6,7
9084,Noise,no_violation,6,7
9085,Noise,fixed,4,5
9086,Noise,no_violation,6,7
9087,Noise,no_violation,6,7
9088,Noise,no_violation,6,7
9089,Noise,fixed,4,5
9090,Noise,no_violation,6,7
9091,Noise,no_violation,6,7
9092,Noise,fixed,4,5
9093,Noise,no_violation,6,7
9094,Noise,fixed,4,5
9095,Noise,fixed,4,5
9096,Noise,fixed,4,5
9097,Noise,fixed,4,5
9098,Noise,fixed,4,5
9099,Noise,no_violation,6,7
9100,Noise,fixed,4,5
9101,Energy,no_violation,1,2
9102,Energy,no_violation,1,2
9103,Noise,no_violation,6,7
9104,Noise,fixed,4,5
9105,Noise,fixed,4,5
9106,Noise,no_violation,6,7
9107,Noise,no_violation,6,7
9108,Noise,fixed,4,5
9109,Safety,no_violation,7,8
9110,Noise,fixed,4,5
9111,Noise,no_violation,6,7
9112,Noise,fixed,4,5
9113,Noise,no_violation,6,7
9114,Noise,referred,4,5
9115,Noise,no_violation,6,7
9116,Noise,fixed,4,5
9117,Safety,fixed,0,1
9118,Noise,info_needed,4,5
9119,Noise,no_violation,6,7
9120,Noise,fixed,4,5
9121,Noise,fixed,4,5
9122,Noise,fixed,4,5
9123,Noise,fixed,4,5
9124,Noise,fixed,4,5
9125,Other,fixed,0,1
9126,Noise,no_violation,6,7
9127,Noise,fixed,4,5
9128,Traffic,no_violation,5,6
9129,Noise,fixed,4,5
9130,Noise,fixed,4,5
9131,Noise,fixed,4,5
9132,Noise,fixed,4,5
9133,Traffic,fixed,0,1
9134,Noise,fixed,4,5
9135,Noise,fixed,4,5
9136,Noise,fixed,4,5
9137,Noise,no_violation,6,7
9138,Noise,fixed,4,5
9139,Noise,fixed,4,5
9140,Noise,fixed,4,5
9141,Noise,fixed,4,5
9142,Noise,info_needed,4,5
9143,Noise,info_needed,4,5
9144,Noise,no_violation,6,7
9145,Noise,fixed,4,5
9146,Traffic,fixed,0,1
9147,Noise,no_violation,6,7
9148,Noise,fixed,4,5
9149,Noise,no_violation,6,7
9150,Noise,no_violation,6,7
9151,Personal Issue,no_violation,1,2
9152,Noise,no_violation,6,7
9153,Noise,no_violation,6,7
9154,Noise,no_violation,6,7
9155,Noise,fixed,4,5
9156,Noise,no_violation,6,7
9157,Noise,no_violation,6,7
9158,Personal Issue,no_violation,1,2
9159,Noise,fixed,4,5
9160,Noise,no_violation,6,7
9161,Noise,fixed,4,5
9162,Traffic,referred,0,1
9163,Noise,fixed,4,5
9164,Noise,fixed,4,5
9165,Noise,no_violation,6,7
9166,Noise,fixed,4,5
9167,Noise,fixed,4,5
9168,Noise,fixed,4,5
9169,Noise,fixed,4,5
9170,Noise,fixed,4,5
9171,Noise,fixed,4,5
9172,Noise,fixed,4,5
9173,Noise,fixed,4,5
9174,Noise,no_violation,6,7
9175,Noise,no_violation,6,7
9176,Noise,no_violation,6,7
9177,Noise,fixed,4,5
9178,Traffic,fixed,0,1
9179,Noise,fixed,4,5
9180,Noise,fixed,4,5
9181,Noise,no_violation,6,7
9182,Noise,fixed,4,5
9183,Noise,info_needed,4,5
9184,Noise,no_violation,6,7
9185,Noise,fixed,4,5
9186,Noise,fixed,4,5
9187,Noise,no_violation,6,7
9188,Noise,no_violation,6,7
9189,Noise,no_violation,6,7
9190,Energy,no_violation,1,2
9197,Noise,no_violation,6,7
9198,Noise,no_violation,6,7
9199,Traffic,no_violation,5,6
9200,Noise,no_violation,6,7
9201,Noise,no_violation,6,7
9202,Noise,no_violation,6,7
9203,Noise,no_violation,6,7
9204,Noise,no_violation,6,7
9205,Noise,fixed,4,5
9206,Noise,fixed,4,5
9207,Noise,fixed,4,5
9208,Noise,no_violation,6,7
9209,Noise,fixed,4,5
9210,Noise,no_violation,6,7
9211,Noise,no_violation,6,7
9212,Noise,no_violation,6,7
9213,Noise,info_needed,4,5
9214,Noise,no_violation,6,7
9215,Noise,fixed,4,5
9216,Energy,no_violation,1,2
9217,Noise,no_violation,6,7
9218,Noise,no_violation,6,7
9219,Noise,fixed,4,5
9220,Noise,no_violation,6,7
9221,Noise,no_violation,6,7
9222,Noise,fixed,4,5
9223,Noise,no_violation,6,7
9224,Noise,no_violation,6,7
9225,Energy,no_violation,1,2
9226,Noise,fixed,4,5
9227,Energy,no_violation,1,2
9228,Noise,fixed,4,5
9229,Noise,fixed,4,5
9230,Noise,info_needed,4,5
9231,Noise,fixed,4,5
9232,Noise,fixed,4,5
9233,Noise,info_needed,4,5
9234,Noise,fixed,4,5
9235,Noise,info_needed,4,5
9236,Noise,fixed,4,5
9237,Noise,fixed,4,5
9238,Noise,fixed,4,5
9239,Noise,fixed,4,5
9240,Traffic,no_violation,5,6
9241,Noise,fixed,4,5
9242,Noise,info_needed,4,5
9243,Noise,fixed,4,5
9244,Noise,fixed,4,5
9245,Energy,fixed,0,1
9246,Noise,no_violation,6,7
9247,Other,fixed,0,1
