,Descriptor,Resolved Type,Duration Type,Cluster Labels,Segment
8065,Noise,no_violation,"(26.55, 63.33]",6,7
8066,Noise,fixed,"(0.069, 26.55]",7,8
8067,Noise,no_violation,"(26.55, 63.33]",6,7
8068,Noise,no_violation,"(26.55, 63.33]",6,7
8069,Noise,no_violation,"(63.33, 2677.65]",9,10
8070,Noise,fixed,"(0.069, 26.55]",7,8
8071,Noise,no_violation,"(26.55, 63.33]",6,7
8072,Noise,no_violation,"(26.55, 63.33]",6,7
8073,Noise,info_needed,"(63.33, 2677.65]",9,10
8074,Noise,no_violation,"(0.069, 26.55]",3,4
8075,Noise,fixed,"(0.069, 26.55]",7,8
8076,Noise,no_violation,"(26.55, 63.33]",6,7
8077,Noise,no_violation,"(0.069, 26.55]",3,4
8078,Noise,fixed,"(63.33, 2677.65]",4,5
8079,Noise,no_violation,"(0.069, 26.55]",3,4
8080,Noise,no_violation,"(63.33, 2677.65]",9,10
8081,House,no_violation,"(63.33, 2677.65]",2,3
8082,Noise,fixed,"(63.33, 2677.65]",4,5
8083,Noise,fixed,"(63.33, 2677.65]",4,5
8084,Noise,fixed,"(63.33, 2677.65]",4,5
8085,Noise,no_violation,"(63.33, 2677.65]",9,10
8086,Noise,fixed,"(26.55, 63.33]",4,5
8087,Noise,fixed,"(63.33, 2677.65]",4,5
8088,Traffic,no_violation,"(26.55, 63.33]",1,2
8089,Noise,no_violation,"(26.55, 63.33]",6,7
8090,Traffic,no_violation,"(26.55, 63.33]",1,2
8091,Noise,fixed,"(63.33, 2677.65]",4,5
8092,Noise,no_violation,"(0.069, 26.55]",3,4
8093,Noise,fixed,"(0.069, 26.55]",7,8
8094,Noise,no_violation,"(26.55, 63.33]",6,7
8095,Noise,fixed,"(0.069, 26.55]",7,8
8096,Noise,no_violation,"(0.069, 26.55]",3,4
8097,Noise,no_violation,"(63.33, 2677.65]",9,10
8098,Noise,no_violation,"(26.55, 63.33]",6,7
8099,Noise,fixed,"(0.069, 26.55]",7,8
8100,Noise,fixed,"(0.069, 26.55]",7,8
8101,Noise,no_violation,"(26.55, 63.33]",6,7
8102,Noise,no_violation,"(26.55, 63.33]",6,7
8103,Other,no_violation,"(26.55, 63.33]",1,2
8104,Noise,no_violation,"(63.33, 2677.65]",9,10
8105,Noise,no_violation,"(26.55, 63.33]",6,7
8106,Traffic,no_violation,"(63.33, 2677.65]",1,2
8107,Traffic,fixed,"(0.069, 26.55]",7,8
8108,Noise,no_violation,"(63.33, 2677.65]",9,10
8109,Noise,fixed,"(63.33, 2677.65]",4,5
8110,Noise,fixed,"(63.33, 2677.65]",4,5
8112,Noise,no_violation,"(26.55, 63.33]",6,7
8113,Personal Issue,no_violation,"(63.33, 2677.65]",9,10
8114,Noise,fixed,"(26.55, 63.33]",4,5
8115,Noise,no_violation,"(63.33, 2677.65]",9,10
8116,Noise,no_violation,"(26.55, 63.33]",6,7
8117,Noise,fixed,"(26.55, 63.33]",4,5
8118,Noise,fixed,"(0.069, 26.55]",7,8
8119,Noise,no_violation,"(0.069, 26.55]",3,4
8120,Noise,no_violation,"(63.33, 2677.65]",9,10
8121,Noise,fixed,"(0.069, 26.55]",7,8
8122,Noise,fixed,"(63.33, 2677.65]",4,5
8123,Noise,no_violation,"(26.55, 63.33]",6,7
8124,Noise,no_violation,"(26.55, 63.33]",6,7
8125,Noise,no_violation,"(0.069, 26.55]",3,4
8126,Noise,no_violation,"(26.55, 63.33]",6,7
8127,Noise,no_violation,"(26.55, 63.33]",6,7
8128,Energy,no_violation,"(63.33, 2677.65]",9,10
8129,Noise,fixed,"(63.33, 2677.65]",4,5
8130,Noise,no_violation,"(63.33, 2677.65]",9,10
8131,Noise,fixed,"(26.55, 63.33]",4,5
8132,Noise,fixed,"(26.55, 63.33]",4,5
8133,Noise,no_violation,"(26.55, 63.33]",6,7
8134,Noise,no_violation,"(63.33, 2677.65]",9,10
8135,Noise,fixed,"(0.069, 26.55]",7,8
8136,Noise,no_violation,"(0.069, 26.55]",3,4
8137,Noise,no_violation,"(0.069, 26.55]",3,4
8138,Noise,no_violation,"(26.55, 63.33]",6,7
8139,Noise,no_violation,"(0.069, 26.55]",3,4
8140,Noise,no_violation,"(26.55, 63.33]",6,7
8141,Traffic,no_violation,"(63.33, 2677.65]",1,2
8142,Noise,no_violation,"(0.069, 26.55]",3,4
8143,Noise,no_violation,"(63.33, 2677.65]",9,10
8144,Noise,no_violation,"(63.33, 2677.65]",9,10
8145,Noise,no_violation,"(63.33, 2677.65]",9,10
8146,Noise,fixed,"(63.33, 2677.65]",4,5
8147,Noise,fixed,"(0.069, 26.55]",7,8
8148,Noise,fixed,"(0.069, 26.55]",7,8
8149,Noise,fixed,"(0.069, 26.55]",7,8
8150,Noise,fixed,"(0.069, 26.55]",7,8
8151,Noise,no_violation,"(0.069, 26.55]",3,4
8152,Noise,fixed,"(0.069, 26.55]",7,8
8153,Noise,fixed,"(0.069, 26.55]",7,8
8154,Noise,no_violation,"(0.069, 26.55]",3,4
8155,Noise,fixed,"(0.069, 26.55]",7,8
8156,Noise,no_violation,"(0.069, 26.55]",3,4
8157,Safety,fixed,"(63.33, 2677.65]",0,1
8158,Noise,fixed,"(0.069, 26.55]",7,8
8159,Noise,no_violation,"(63.33, 2677.65]",9,10
8160,Noise,no_violation,"(26.55, 63.33]",6,7
8161,Noise,no_violation,"(0.069, 26.55]",3,4
8162,Noise,no_violation,"(26.55, 63.33]",6,7
8163,Noise,no_violation,"(26.55, 63.33]",6,7
8164,Noise,no_violation,"(0.069, 26.55]",3,4
8165,Noise,no_violation,"(26.55, 63.33]",6,7
8166,Noise,info_needed,"(63.33, 2677.65]",9,10
8167,Noise,no_violation,"(26.55, 63.33]",6,7
8168,Noise,no_violation,"(26.55, 63.33]",6,7
8169,Noise,no_violation,"(26.55, 63.33]",6,7
8170,Trash/Pollution,no_violation,"(63.33, 2677.65]",9,10
8171,Traffic,no_violation,"(63.33, 2677.65]",1,2
8172,Noise,no_violation,"(63.33, 2677.65]",9,10
8173,Noise,no_violation,"(63.33, 2677.65]",9,10
8174,Energy,no_violation,"(26.55, 63.33]",1,2
8175,Noise,no_violation,"(26.55, 63.33]",6,7
8176,Noise,info_needed,"(0.069, 26.55]",3,4
8177,Noise,no_violation,"(0.069, 26.55]",3,4
8178,Noise,no_violation,"(0.069, 26.55]",3,4
8179,Noise,fixed,"(26.55, 63.33]",4,5
8180,Noise,fixed,"(0.069, 26.55]",7,8
8181,Traffic,fixed,"(0.069, 26.55]",7,8
8182,Traffic,fixed,"(0.069, 26.55]",7,8
8183,Noise,fixed,"(0.069, 26.55]",7,8
8184,Noise,fixed,"(63.33, 2677.65]",4,5
8185,Noise,fixed,"(0.069, 26.55]",7,8
8186,Noise,no_violation,"(63.33, 2677.65]",9,10
8187,Noise,fixed,"(0.069, 26.55]",7,8
8188,Personal Issue,fixed,"(0.069, 26.55]",7,8
8189,Noise,no_violation,"(26.55, 63.33]",6,7
8190,Noise,info_needed,"(0.069, 26.55]",3,4
8191,Noise,fixed,"(26.55, 63.33]",4,5
8192,Noise,fixed,"(26.55, 63.33]",4,5
8194,Traffic,fixed,"(26.55, 63.33]",0,1
8195,Traffic,fixed,"(26.55, 63.33]",0,1
8196,Noise,fixed,"(63.33, 2677.65]",4,5
8197,Noise,no_violation,"(0.069, 26.55]",3,4
8198,Noise,no_violation,"(63.33, 2677.65]",9,10
8199,Noise,fixed,"(26.55, 63.33]",4,5
8200,Noise,fixed,"(26.55, 63.33]",4,5
8201,Noise,fixed,"(63.33, 2677.65]",4,5
8202,Noise,fixed,"(26.55, 63.33]",4,5
8203,Noise,fixed,"(63.33, 2677.65]",4,5
8204,House,no_violation,"(0.069, 26.55]",2,3
8205,Noise,no_violation,"(26.55, 63.33]",6,7
8206,Noise,no_violation,"(0.069, 26.55]",3,4
8207,Noise,fixed,"(26.55, 63.33]",4,5
8208,Energy,fixed,"(26.55, 63.33]",0,1
8209,Traffic,no_violation,"(26.55, 63.33]",1,2
8210,Noise,no_violation,"(63.33, 2677.65]",9,10
8211,Noise,no_violation,"(0.069, 26.55]",3,4
8212,Noise,no_violation,"(26.55, 63.33]",6,7
8213,Traffic,fixed,"(26.55, 63.33]",0,1
8214,Noise,fixed,"(0.069, 26.55]",7,8
8215,Noise,no_violation,"(26.55, 63.33]",6,7
8216,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
8217,Noise,no_violation,"(63.33, 2677.65]",9,10
8218,Noise,no_violation,"(63.33, 2677.65]",9,10
8219,Safety,no_violation,"(63.33, 2677.65]",9,10
8220,Other,no_violation,"(63.33, 2677.65]",9,10
8221,Noise,fixed,"(63.33, 2677.65]",4,5
8222,Traffic,fixed,"(0.069, 26.55]",7,8
8223,Traffic,info_needed,"(26.55, 63.33]",1,2
8224,Traffic,info_needed,"(26.55, 63.33]",1,2
8225,Noise,fixed,"(0.069, 26.55]",7,8
8226,Noise,fixed,"(0.069, 26.55]",7,8
8227,Safety,fixed,"(26.55, 63.33]",0,1
8228,Noise,no_violation,"(0.069, 26.55]",3,4
8230,Noise,fixed,"(26.55, 63.33]",4,5
8231,Noise,fixed,"(0.069, 26.55]",7,8
8232,Noise,no_violation,"(63.33, 2677.65]",9,10
8233,Noise,no_violation,"(26.55, 63.33]",6,7
8234,Noise,fixed,"(63.33, 2677.65]",4,5
8235,Noise,no_violation,"(0.069, 26.55]",3,4
8236,Noise,no_violation,"(26.55, 63.33]",6,7
8237,Noise,no_violation,"(26.55, 63.33]",6,7
8238,Noise,no_violation,"(26.55, 63.33]",6,7
8239,Noise,no_violation,"(0.069, 26.55]",3,4
8240,Safety,no_violation,"(26.55, 63.33]",0,1
8241,Noise,fixed,"(0.069, 26.55]",7,8
8242,Noise,no_violation,"(26.55, 63.33]",6,7
8243,Noise,no_violation,"(63.33, 2677.65]",9,10
8244,Noise,fixed,"(63.33, 2677.65]",4,5
8245,Noise,no_violation,"(26.55, 63.33]",6,7
8246,Noise,no_violation,"(63.33, 2677.65]",9,10
8247,Noise,no_violation,"(26.55, 63.33]",6,7
8248,Noise,fixed,"(0.069, 26.55]",7,8
8249,Noise,fixed,"(63.33, 2677.65]",4,5
8250,Noise,fixed,"(26.55, 63.33]",4,5
8251,Traffic,fixed,"(0.069, 26.55]",7,8
8252,Noise,no_violation,"(26.55, 63.33]",6,7
8253,Traffic,fixed,"(26.55, 63.33]",0,1
8254,Noise,fixed,"(0.069, 26.55]",7,8
8256,Noise,info_needed,"(0.069, 26.55]",3,4
8257,Noise,no_violation,"(0.069, 26.55]",3,4
8258,Noise,fixed,"(26.55, 63.33]",4,5
8259,Noise,no_violation,"(0.069, 26.55]",3,4
8260,Noise,fixed,"(0.069, 26.55]",7,8
8261,Noise,fixed,"(26.55, 63.33]",4,5
8262,Noise,no_violation,"(0.069, 26.55]",3,4
8263,Safety,fixed,"(63.33, 2677.65]",0,1
8264,Noise,fixed,"(26.55, 63.33]",4,5
8265,Noise,fixed,"(26.55, 63.33]",4,5
8266,Noise,no_violation,"(63.33, 2677.65]",9,10
8267,Noise,fixed,"(0.069, 26.55]",7,8
8268,Noise,fixed,"(0.069, 26.55]",7,8
8269,Noise,fixed,"(26.55, 63.33]",4,5
8270,Noise,no_violation,"(26.55, 63.33]",6,7
8271,Noise,fixed,"(26.55, 63.33]",4,5
8272,Noise,fixed,"(0.069, 26.55]",7,8
8273,Noise,fixed,"(63.33, 2677.65]",4,5
8274,Noise,no_violation,"(63.33, 2677.65]",9,10
8275,Noise,fixed,"(0.069, 26.55]",7,8
8277,Noise,no_violation,"(0.069, 26.55]",3,4
8278,Noise,no_violation,"(26.55, 63.33]",6,7
8279,Noise,no_violation,"(0.069, 26.55]",3,4
8280,Noise,no_violation,"(26.55, 63.33]",6,7
8281,Noise,fixed,"(0.069, 26.55]",7,8
8282,Traffic,no_violation,"(0.069, 26.55]",1,2
8283,Noise,no_violation,"(0.069, 26.55]",3,4
8284,Noise,fixed,"(63.33, 2677.65]",4,5
8285,Other,no_violation,"(0.069, 26.55]",3,4
8286,Noise,fixed,"(63.33, 2677.65]",4,5
8287,Noise,no_violation,"(63.33, 2677.65]",9,10
8288,Noise,info_needed,"(26.55, 63.33]",4,5
8289,Noise,no_violation,"(63.33, 2677.65]",9,10
8290,Noise,fixed,"(26.55, 63.33]",4,5
8291,Noise,no_violation,"(0.069, 26.55]",3,4
8292,Noise,no_violation,"(0.069, 26.55]",3,4
8293,Noise,fixed,"(0.069, 26.55]",7,8
8294,Noise,no_violation,"(63.33, 2677.65]",9,10
8295,Noise,no_violation,"(63.33, 2677.65]",9,10
8296,Noise,fixed,"(26.55, 63.33]",4,5
8297,Traffic,fixed,"(26.55, 63.33]",0,1
8298,Traffic,fixed,"(63.33, 2677.65]",8,9
8299,Noise,no_violation,"(26.55, 63.33]",6,7
8300,Noise,fixed,"(63.33, 2677.65]",4,5
8301,Noise,fixed,"(26.55, 63.33]",4,5
8302,Noise,fixed,"(0.069, 26.55]",7,8
8303,Noise,fixed,"(26.55, 63.33]",4,5
8304,Noise,no_violation,"(26.55, 63.33]",6,7
8305,Noise,info_needed,"(63.33, 2677.65]",9,10
8306,Safety,fixed,"(0.069, 26.55]",0,1
8307,Noise,fixed,"(26.55, 63.33]",4,5
8308,Personal Issue,fixed,"(63.33, 2677.65]",8,9
8309,Noise,no_violation,"(26.55, 63.33]",6,7
8310,Noise,fixed,"(26.55, 63.33]",4,5
8311,Noise,no_violation,"(26.55, 63.33]",6,7
8312,Noise,fixed,"(0.069, 26.55]",7,8
8313,Traffic,info_needed,"(63.33, 2677.65]",8,9
8314,Noise,fixed,"(0.069, 26.55]",7,8
8315,Noise,no_violation,"(0.069, 26.55]",3,4
8316,Noise,no_violation,"(26.55, 63.33]",6,7
8317,Noise,no_violation,"(26.55, 63.33]",6,7
8318,Noise,no_violation,"(63.33, 2677.65]",9,10
8319,Traffic,fixed,"(26.55, 63.33]",0,1
8320,Noise,no_violation,"(0.069, 26.55]",3,4
8321,Noise,fixed,"(63.33, 2677.65]",4,5
8322,Noise,fixed,"(26.55, 63.33]",4,5
8323,Noise,fixed,"(63.33, 2677.65]",4,5
8324,Noise,no_violation,"(63.33, 2677.65]",9,10
8325,Noise,no_violation,"(26.55, 63.33]",6,7
8326,Noise,no_violation,"(63.33, 2677.65]",9,10
8327,Other,no_violation,"(63.33, 2677.65]",9,10
8328,Noise,info_needed,"(26.55, 63.33]",4,5
8329,Noise,no_violation,"(63.33, 2677.65]",9,10
8330,Noise,no_violation,"(26.55, 63.33]",6,7
8331,Noise,no_violation,"(63.33, 2677.65]",9,10
8333,Noise,fixed,"(26.55, 63.33]",4,5
8334,Noise,no_violation,"(63.33, 2677.65]",9,10
8335,Noise,no_violation,"(63.33, 2677.65]",9,10
8336,Traffic,fixed,"(0.069, 26.55]",7,8
8337,Other,fixed,"(63.33, 2677.65]",8,9
8338,Noise,no_violation,"(26.55, 63.33]",6,7
8339,Commercial,fixed,"(63.33, 2677.65]",8,9
8340,Noise,no_violation,"(26.55, 63.33]",6,7
8341,Noise,no_violation,"(63.33, 2677.65]",9,10
8342,Noise,fixed,"(26.55, 63.33]",4,5
8343,Noise,fixed,"(26.55, 63.33]",4,5
8344,Commercial,fixed,"(63.33, 2677.65]",8,9
8345,Commercial,fixed,"(63.33, 2677.65]",8,9
8346,Traffic,info_needed,"(63.33, 2677.65]",8,9
8347,Noise,no_violation,"(26.55, 63.33]",6,7
8348,Personal Issue,fixed,"(63.33, 2677.65]",8,9
8349,Traffic,fixed,"(63.33, 2677.65]",8,9
8350,Commercial,fixed,"(63.33, 2677.65]",8,9
8351,Commercial,fixed,"(63.33, 2677.65]",8,9
8352,Commercial,fixed,"(63.33, 2677.65]",8,9
8353,Commercial,fixed,"(63.33, 2677.65]",8,9
8354,Traffic,info_needed,"(0.069, 26.55]",1,2
8355,Personal Issue,fixed,"(63.33, 2677.65]",8,9
8356,Traffic,fixed,"(63.33, 2677.65]",8,9
8357,Commercial,fixed,"(63.33, 2677.65]",8,9
8358,Noise,fixed,"(26.55, 63.33]",4,5
8359,Commercial,fixed,"(63.33, 2677.65]",8,9
8360,Traffic,fixed,"(26.55, 63.33]",0,1
8361,Noise,no_violation,"(63.33, 2677.65]",9,10
8362,Noise,fixed,"(26.55, 63.33]",4,5
8363,Noise,no_violation,"(63.33, 2677.65]",9,10
8364,Personal Issue,no_violation,"(26.55, 63.33]",1,2
8365,Traffic,no_violation,"(26.55, 63.33]",1,2
8366,Personal Issue,no_violation,"(26.55, 63.33]",1,2
8367,Noise,no_violation,"(63.33, 2677.65]",9,10
8368,Noise,no_violation,"(63.33, 2677.65]",9,10
8369,Noise,no_violation,"(63.33, 2677.65]",9,10
8371,Safety,fixed,"(0.069, 26.55]",0,1
8372,Traffic,no_violation,"(0.069, 26.55]",1,2
8373,Personal Issue,fixed,"(0.069, 26.55]",7,8
8375,Noise,no_violation,"(63.33, 2677.65]",9,10
8376,Noise,no_violation,"(63.33, 2677.65]",9,10
8377,House,info_needed,"(63.33, 2677.65]",2,3
8378,Animals,referred,"(0.069, 26.55]",3,4
8379,Traffic,no_violation,"(63.33, 2677.65]",1,2
8380,Traffic,fixed,"(0.069, 26.55]",7,8
8381,Noise,fixed,"(26.55, 63.33]",4,5
8382,Traffic,fixed,"(0.069, 26.55]",7,8
8385,Traffic,no_violation,"(0.069, 26.55]",1,2
8386,Traffic,no_violation,"(0.069, 26.55]",1,2
8387,Traffic,no_violation,"(0.069, 26.55]",1,2
8388,Traffic,no_violation,"(63.33, 2677.65]",1,2
8390,Safety,no_violation,"(63.33, 2677.65]",9,10
8392,Traffic,no_violation,"(63.33, 2677.65]",1,2
8395,Safety,fixed,"(63.33, 2677.65]",0,1
8396,Safety,fixed,"(26.55, 63.33]",0,1
8397,Noise,no_violation,"(0.069, 26.55]",3,4
8400,Traffic,fixed,"(63.33, 2677.65]",8,9
8401,Traffic,no_violation,"(0.069, 26.55]",1,2
8402,Traffic,fixed,"(63.33, 2677.65]",8,9
8403,Traffic,no_violation,"(63.33, 2677.65]",1,2
8408,Traffic,no_violation,"(63.33, 2677.65]",1,2
8410,Safety,fixed,"(2677.65, 59476.62]",0,1
8411,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
8412,House,no_violation,"(63.33, 2677.65]",2,3
8413,Energy,fixed,"(63.33, 2677.65]",8,9
8414,House,duplicated_report,"(63.33, 2677.65]",2,3
8415,House,no_violation,"(63.33, 2677.65]",2,3
8417,Noise,no_violation,"(26.55, 63.33]",6,7
8418,Noise,fixed,"(0.069, 26.55]",7,8
8419,Traffic,no_violation,"(26.55, 63.33]",1,2
8420,House,fixed,"(2677.65, 59476.62]",2,3
8421,Traffic,no_violation,"(26.55, 63.33]",1,2
8422,Personal Issue,no_violation,"(26.55, 63.33]",1,2
8423,Noise,no_violation,"(26.55, 63.33]",6,7
8424,Traffic,no_violation,"(0.069, 26.55]",1,2
8425,Traffic,no_violation,"(0.069, 26.55]",1,2
8426,House,fixed,"(2677.65, 59476.62]",2,3
8427,Traffic,no_violation,"(26.55, 63.33]",1,2
8428,Traffic,no_violation,"(26.55, 63.33]",1,2
8432,Personal Issue,fixed,"(63.33, 2677.65]",8,9
8433,Safety,no_violation,"(63.33, 2677.65]",9,10
8434,Noise,no_violation,"(26.55, 63.33]",6,7
8435,Traffic,referred,"(0.069, 26.55]",1,2
8436,Traffic,no_violation,"(0.069, 26.55]",1,2
8437,Commercial,fixed,"(63.33, 2677.65]",8,9
8438,Other,fixed,"(63.33, 2677.65]",8,9
8441,Commercial,fixed,"(26.55, 63.33]",0,1
8442,Commercial,fixed,"(26.55, 63.33]",0,1
8443,Safety,no_violation,"(26.55, 63.33]",0,1
8444,Commercial,info_needed,"(26.55, 63.33]",0,1
8445,Personal Issue,fixed,"(0.069, 26.55]",7,8
8446,Traffic,no_violation,"(26.55, 63.33]",1,2
8447,Traffic,no_violation,"(0.069, 26.55]",1,2
8448,Traffic,no_violation,"(26.55, 63.33]",1,2
8449,Trash/Pollution,fixed,"(63.33, 2677.65]",8,9
8452,House,fixed,"(2677.65, 59476.62]",2,3
8453,Traffic,fixed,"(26.55, 63.33]",0,1
8454,Traffic,fixed,"(26.55, 63.33]",0,1
8455,Noise,no_violation,"(0.069, 26.55]",3,4
8459,Traffic,no_violation,"(0.069, 26.55]",1,2
8460,Traffic,no_violation,"(0.069, 26.55]",1,2
8461,Traffic,no_violation,"(63.33, 2677.65]",1,2
8462,Traffic,no_violation,"(26.55, 63.33]",1,2
8463,Traffic,no_violation,"(26.55, 63.33]",1,2
8464,Traffic,no_violation,"(26.55, 63.33]",1,2
8465,Traffic,no_violation,"(26.55, 63.33]",1,2
8466,Traffic,no_violation,"(26.55, 63.33]",1,2
8467,Traffic,no_violation,"(26.55, 63.33]",1,2
8468,Traffic,no_violation,"(63.33, 2677.65]",1,2
8469,Traffic,no_violation,"(63.33, 2677.65]",1,2
8470,Noise,no_violation,"(0.069, 26.55]",3,4
8471,Traffic,no_violation,"(63.33, 2677.65]",1,2
8474,Traffic,no_violation,"(63.33, 2677.65]",1,2
8475,Traffic,no_violation,"(63.33, 2677.65]",1,2
8476,Traffic,no_violation,"(63.33, 2677.65]",1,2
8477,Noise,no_violation,"(26.55, 63.33]",6,7
8478,Traffic,no_violation,"(63.33, 2677.65]",1,2
8479,Traffic,no_violation,"(63.33, 2677.65]",1,2
8480,Traffic,no_violation,"(26.55, 63.33]",1,2
8481,Traffic,fixed,"(26.55, 63.33]",0,1
8483,Noise,no_violation,"(26.55, 63.33]",6,7
8484,Traffic,no_violation,"(63.33, 2677.65]",1,2
8485,Commercial,no_violation,"(26.55, 63.33]",1,2
8486,Safety,no_violation,"(26.55, 63.33]",0,1
8487,Noise,no_violation,"(0.069, 26.55]",3,4
8490,Noise,no_violation,"(26.55, 63.33]",6,7
8491,Safety,fixed,"(26.55, 63.33]",0,1
8492,Noise,no_violation,"(26.55, 63.33]",6,7
8493,House,fixed,"(2677.65, 59476.62]",2,3
8494,House,fixed,"(63.33, 2677.65]",8,9
8495,House,fixed,"(63.33, 2677.65]",8,9
8496,Traffic,no_violation,"(0.069, 26.55]",1,2
8497,Safety,fixed,"(63.33, 2677.65]",0,1
8498,Safety,fixed,"(63.33, 2677.65]",0,1
8499,Safety,fixed,"(63.33, 2677.65]",0,1
8500,Safety,fixed,"(26.55, 63.33]",0,1
8501,House,fixed,"(2677.65, 59476.62]",2,3
8502,House,fixed,"(2677.65, 59476.62]",2,3
8503,Animals,fixed,"(2677.65, 59476.62]",5,6
8504,House,fixed,"(2677.65, 59476.62]",2,3
8505,House,fixed,"(2677.65, 59476.62]",2,3
8507,Noise,no_violation,"(0.069, 26.55]",3,4
8508,Other,fixed,"(63.33, 2677.65]",8,9
8509,Traffic,no_violation,"(0.069, 26.55]",1,2
8510,Personal Issue,fixed,"(26.55, 63.33]",0,1
8511,Safety,fixed,"(0.069, 26.55]",0,1
8512,Traffic,fixed,"(0.069, 26.55]",7,8
8513,Noise,no_violation,"(26.55, 63.33]",6,7
8514,Noise,fixed,"(63.33, 2677.65]",4,5
8515,Trash/Pollution,referred,"(2677.65, 59476.62]",2,3
8516,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
8517,Trash/Pollution,referred,"(63.33, 2677.65]",8,9
8518,Trash/Pollution,no_violation,"(63.33, 2677.65]",9,10
8519,Trash/Pollution,no_violation,"(63.33, 2677.65]",9,10
8521,Noise,fixed,"(63.33, 2677.65]",4,5
8522,Noise,fixed,"(26.55, 63.33]",4,5
8523,Safety,no_violation,"(63.33, 2677.65]",9,10
8524,Traffic,no_violation,"(26.55, 63.33]",1,2
8525,Traffic,fixed,"(63.33, 2677.65]",8,9
8527,Traffic,fixed,"(0.069, 26.55]",7,8
8528,Personal Issue,fixed,"(2677.65, 59476.62]",5,6
8530,Traffic,info_needed,"(63.33, 2677.65]",8,9
8531,Traffic,no_violation,"(26.55, 63.33]",1,2
8532,Noise,no_violation,"(0.069, 26.55]",3,4
8533,Traffic,fixed,"(63.33, 2677.65]",8,9
8536,Traffic,no_violation,"(0.069, 26.55]",1,2
8537,Traffic,fixed,"(26.55, 63.33]",0,1
8539,Traffic,fixed,"(0.069, 26.55]",7,8
8542,Noise,fixed,"(26.55, 63.33]",4,5
8543,Traffic,fixed,"(26.55, 63.33]",0,1
8544,Noise,no_violation,"(26.55, 63.33]",6,7
8545,Safety,fixed,"(0.069, 26.55]",0,1
8546,Noise,info_needed,"(26.55, 63.33]",4,5
8547,Noise,no_violation,"(0.069, 26.55]",3,4
8550,Traffic,no_violation,"(26.55, 63.33]",1,2
8551,Noise,no_violation,"(0.069, 26.55]",3,4
8553,Noise,fixed,"(0.069, 26.55]",7,8
8554,Noise,fixed,"(26.55, 63.33]",4,5
8555,Noise,fixed,"(26.55, 63.33]",4,5
8556,Traffic,fixed,"(63.33, 2677.65]",8,9
8558,Safety,no_violation,"(0.069, 26.55]",3,4
8559,Animals,fixed,"(2677.65, 59476.62]",5,6
8560,Traffic,fixed,"(63.33, 2677.65]",8,9
8562,House,fixed,"(2677.65, 59476.62]",2,3
8563,Noise,fixed,"(26.55, 63.33]",4,5
8564,House,fixed,"(2677.65, 59476.62]",2,3
8565,Traffic,fixed,"(26.55, 63.33]",0,1
8566,Traffic,fixed,"(0.069, 26.55]",7,8
8567,Traffic,fixed,"(0.069, 26.55]",7,8
8568,Noise,fixed,"(26.55, 63.33]",4,5
8569,Traffic,fixed,"(0.069, 26.55]",7,8
8570,Traffic,no_violation,"(26.55, 63.33]",1,2
8571,Noise,fixed,"(63.33, 2677.65]",4,5
8572,Noise,fixed,"(26.55, 63.33]",4,5
8573,Traffic,fixed,"(0.069, 26.55]",7,8
8574,Traffic,fixed,"(0.069, 26.55]",7,8
8575,Traffic,referred,"(63.33, 2677.65]",8,9
8576,Noise,fixed,"(0.069, 26.55]",7,8
8577,Traffic,fixed,"(0.069, 26.55]",7,8
8578,Noise,fixed,"(26.55, 63.33]",4,5
8581,House,no_violation,"(2677.65, 59476.62]",2,3
8582,House,info_needed,"(2677.65, 59476.62]",2,3
8583,House,fixed,"(2677.65, 59476.62]",2,3
8584,House,fixed,"(63.33, 2677.65]",8,9
8585,House,fixed,"(2677.65, 59476.62]",2,3
8586,Noise,no_violation,"(26.55, 63.33]",6,7
8587,Noise,fixed,"(0.069, 26.55]",7,8
8588,Traffic,fixed,"(0.069, 26.55]",7,8
8589,Traffic,no_violation,"(26.55, 63.33]",1,2
8590,Noise,fixed,"(26.55, 63.33]",4,5
8591,Personal Issue,fixed,"(2677.65, 59476.62]",5,6
8592,Noise,fixed,"(26.55, 63.33]",4,5
8593,Noise,no_violation,"(0.069, 26.55]",3,4
8594,Noise,fixed,"(26.55, 63.33]",4,5
8595,Traffic,no_violation,"(63.33, 2677.65]",1,2
8596,Noise,info_needed,"(26.55, 63.33]",4,5
8597,Traffic,no_violation,"(0.069, 26.55]",1,2
8598,Noise,no_violation,"(0.069, 26.55]",3,4
8599,Noise,fixed,"(26.55, 63.33]",4,5
8600,Safety,referred,"(26.55, 63.33]",0,1
8601,Traffic,fixed,"(26.55, 63.33]",0,1
8602,Trash/Pollution,fixed,"(26.55, 63.33]",0,1
8603,Traffic,fixed,"(26.55, 63.33]",0,1
8604,Noise,fixed,"(0.069, 26.55]",7,8
8605,Traffic,no_violation,"(26.55, 63.33]",1,2
8606,Traffic,no_violation,"(26.55, 63.33]",1,2
8607,Traffic,no_violation,"(63.33, 2677.65]",1,2
8608,Traffic,no_violation,"(63.33, 2677.65]",1,2
8609,Safety,no_violation,"(63.33, 2677.65]",9,10
8610,Traffic,no_violation,"(26.55, 63.33]",1,2
